Alfred Thayer Mahan	wn31-11169473-n
John McCormack (tenor)	wn31-11188503-n
Third Battle of the Aisne	wn31-01297282-n
Denali	wn31-09372322-n
Guatemala City	wn31-08755209-n
Battle of Chickamauga	wn31-01278190-n
Zane Grey	wn31-11036071-n
Ian Smith	wn31-11326292-n
João Pessoa	wn31-08874601-n
Antigonus I Monophthalmus	wn31-10839137-n
Tamil Nadu	wn31-08925435-n
Hecate	wn31-09584884-n
São Francisco Bay	wn31-09446495-n
Vitus Bering	wn31-10866509-n
Gianni Versace	wn31-11384130-n
Centaurus	wn31-09262957-n
Mojave Desert	wn31-09193893-n
Edgard Varèse	wn31-11380529-n
Daniel Defoe	wn31-10947021-n
Mexican–American War	wn31-01308498-n
Utu	wn31-09545633-n
Huambo	wn31-08726314-n
Lionel Trilling	wn31-11369087-n
Sucre	wn31-08872604-n
John Kenneth Galbraith	wn31-11007354-n
David Alfaro Siqueiros	wn31-11322957-n
Linear A	wn31-06373341-n
Seán O'Casey	wn31-11231409-n
Maxwell's demon	wn31-09512276-n
Harlem Renaissance	wn31-15286117-n
Edward Teller	wn31-11355036-n
Barbuda	wn31-08727946-n
Red Hand Defenders	wn31-08058592-n
Max Perutz	wn31-11250967-n
Edward Albee	wn31-10830832-n
Corvus (constellation)	wn31-09280335-n
Sherlock Holmes	wn31-09627625-n
Eve	wn31-09609918-n
Nancy Mitford	wn31-11203064-n
Daniel Garrison Brinton	wn31-10884024-n
Jordan River	wn31-09344807-n
Ted Shawn	wn31-11316592-n
Édouard Manet	wn31-11173877-n
Donner Pass	wn31-09291833-n
Pieter Zeeman	wn31-11425433-n
Oxford English Dictionary	wn31-06432067-n
Danube	wn31-09285993-n
Thomas Pynchon	wn31-11269702-n
Togo	wn31-08777819-n
Battle of Lake Trasimene	wn31-01300469-n
Waterbury, Connecticut	wn31-09092243-n
Leonard Woolley	wn31-11417089-n
Olga Korbut	wn31-11129182-n
Galatea (mythology)	wn31-09578039-n
Ohio River	wn31-09400227-n
Helios	wn31-09584266-n
Río de la Plata	wn31-09433436-n
Lionel Hampton	wn31-11047123-n
John of Gaunt	wn31-11107081-n
Savannah, Georgia	wn31-09100332-n
Transvaal Province	wn31-09023743-n
William Harvey	wn31-11053354-n
Harriet Beecher Stowe	wn31-11340400-n
Jesus	wn31-11103646-n
Malcolm Lowry	wn31-11162912-n
Renaissance	wn31-15284623-n
Tepic	wn31-08763633-n
Mustafa Kemal Atatürk	wn31-10846556-n
Lateran Treaty	wn31-06787672-n
Titus	wn31-11363842-n
Giulio Natta	wn31-11221254-n
Mason City, Iowa	wn31-09109798-n
C. Vann Woodward	wn31-11416530-n
Manchuria	wn31-08740677-n
Boston Navy Yard	wn31-03013131-n
Andrea Palladio	wn31-11241485-n
Dean Acheson	wn31-10827462-n
Pope Gregory VII	wn31-11034208-n
Vasco Núñez de Balboa	wn31-10851456-n
Martinique	wn31-08963015-n
Edgar Lee Masters	wn31-11184048-n
Edirne	wn31-08935884-n
MS-DOS	wn31-06580728-n
Sylvia Plath	wn31-11259133-n
Missouri River	wn31-09379217-n
University of Nebraska–Lincoln	wn31-04519511-n
Hosea	wn31-11081220-n
Sicilian Expedition	wn31-01298618-n
Cali	wn31-08750996-n
Strait of Hormuz	wn31-09469791-n
Charles I of England	wn31-10912316-n
Mortimer Wheeler	wn31-11403273-n
Stephen A. Douglas	wn31-10961198-n
Little Rock, Arkansas	wn31-09082750-n
Charles Dana Gibson	wn31-11018470-n
Iceland	wn31-08972924-n
Sipah-e-Sahaba Pakistan	wn31-08061892-n
Carl Wernicke	wn31-11401679-n
Battle of Rocroi	wn31-01295228-n
John Osborne	wn31-11237658-n
Martial	wn31-11179585-n
Battle of Cunaxa	wn31-01279368-n
Hong Kong	wn31-08748981-n
Sun	wn31-09473312-n
Alexander the Great	wn31-10832653-n
Isabella I of Castile	wn31-11093785-n
Algiers	wn31-08723872-n
Edmonton	wn31-08841734-n
Solway Firth	wn31-09462940-n
Arthur Compton	wn31-10925455-n
Clytemnestra	wn31-09618719-n
Ulaanbaatar	wn31-08991474-n
Samaveda	wn31-06476809-n
Thoth	wn31-09536879-n
Mannheim	wn31-08791906-n
Battle of Caporetto	wn31-01276664-n
Arthur Mitchell (dancer)	wn31-11201927-n
Harry Bridges	wn31-10883660-n
Parjanya	wn31-09550588-n
Charles Garnier (architect)	wn31-11011299-n
Morristown, New Jersey	wn31-09136264-n
Vayu	wn31-09553055-n
Saba	wn31-08767000-n
Boston Tea Party	wn31-01180905-n
Würzburg	wn31-08793012-n
Steven Weinberg	wn31-11400030-n
Mary Pickford	wn31-11254633-n
Biloxi, Mississippi	wn31-09127090-n
Baroque	wn31-15283887-n
Nikolai Bukharin	wn31-10890278-n
Uranus	wn31-09490547-n
Gettysburg, Pennsylvania	wn31-09158291-n
Simone Weil	wn31-11399807-n
George Stephenson	wn31-11336664-n
Alexander Scriabin	wn31-11309820-n
Aristotle	wn31-10841942-n
Mount Adams (Colorado)	wn31-09210304-n
Abydos (Hellespont)	wn31-09062774-n
William Jennings Bryan	wn31-10888972-n
Colorado River (Texas)	wn31-09272922-n
Morgan City, Louisiana	wn31-09114346-n
Aurora (mythology)	wn31-09595291-n
Victoria (mythology)	wn31-09591042-n
Mankato, Minnesota	wn31-09125389-n
Philip Sidney	wn31-11319667-n
Sid Caesar	wn31-10898127-n
Chihuahuan Desert	wn31-09191604-n
Ischia	wn31-08823994-n
Aaron Burr	wn31-10893749-n
Antarctica	wn31-08511469-n
Wilhelm Röntgen	wn31-11288316-n
IJssel	wn31-09332572-n
Hays, Kansas	wn31-09110859-n
KwaZulu-Natal	wn31-08994044-n
Harry Houdini	wn31-11081312-n
Statue of Liberty	wn31-04314244-n
Njörðr	wn31-09605297-n
Barney Oldfield	wn31-11233956-n
Hernán Cortés	wn31-10931995-n
Frederick North, Lord North	wn31-11229780-n
Dartmouth College	wn31-03167747-n
Petrified Forest National Park	wn31-08625871-n
Paleolithic	wn31-15257202-n
MEDLINE	wn31-06650779-n
Confucius	wn31-10926574-n
Kamehameha I	wn31-11116182-n
Adriatic Sea	wn31-09211280-n
Denebola	wn31-09288398-n
Pepin the Short	wn31-11249085-n
John Wanamaker	wn31-11393374-n
Russo-Japanese War	wn31-01310751-n
Jamaica	wn31-08771766-n
Roy Chapman Andrews	wn31-10837916-n
Johann Bernoulli	wn31-10868096-n
Woody Herman	wn31-11064934-n
Marian Anderson	wn31-10837062-n
Nestor (mythology)	wn31-11224266-n
Thebes, Egypt	wn31-08920003-n
Otto Heinrich Warburg	wn31-11393667-n
Francis Turner Palgrave	wn31-11241379-n
Edmond Rostand	wn31-11291849-n
Deserts of Australia	wn31-09191233-n
Mindoro	wn31-09003493-n
Orly	wn31-08953394-n
Lionel Barrymore	wn31-10855305-n
Lawrence Durrell	wn31-10966278-n
Angola	wn31-08725731-n
Noam Chomsky	wn31-10916204-n
Philadelphia	wn31-09158883-n
Pasadena, California	wn31-09087071-n
Shanghai	wn31-08746101-n
Lille	wn31-08956249-n
University of Pittsburgh	wn31-04519947-n
Joseph Goebbels	wn31-11023720-n
Snoopy	wn31-09628042-n
Joseph Banks Rhine	wn31-11278914-n
Newport News, Virginia	wn31-09173417-n
Birgit Nilsson	wn31-11227758-n
Lycia	wn31-08805730-n
Massachusetts Bay Colony	wn31-09118198-n
Myanmar	wn31-08733223-n
Queens	wn31-09145849-n
John Trumbull (poet)	wn31-11370281-n
Montenegro	wn31-08835087-n
Gobi Desert	wn31-09192698-n
Saddam Hussein	wn31-11088391-n
Lake Champlain	wn31-09353510-n
Pennines	wn31-08814865-n
Kinshasa	wn31-08752997-n
The Dagda	wn31-09531798-n
Penang	wn31-08985331-n
Henri Bergson	wn31-10866100-n
Portugal	wn31-09007158-n
Arequipa	wn31-09001960-n
Nahum	wn31-11219127-n
Galveston Island	wn31-09167342-n
James Young Simpson	wn31-11321592-n
Sita	wn31-09554428-n
Guinevere	wn31-11038435-n
Battle of Solferino	wn31-01297644-n
Claude Shannon	wn31-11315609-n
Ursa Minor	wn31-09363358-n
Paleocene	wn31-15150952-n
NYSE MKT	wn31-02704730-n
Ottmar Mergenthaler	wn31-11196220-n
Nephthys	wn31-09535827-n
Mount Sherman	wn31-09454806-n
Lake Erie	wn31-09353972-n
Grant Wood	wn31-11415461-n
Robert Schumann	wn31-11307006-n
Georges Gilles de la Tourette	wn31-11366563-n
Gilbert Murray	wn31-11217407-n
Battle of Marston Moor	wn31-01289431-n
Redding, California	wn31-09087206-n
Geneva Conventions	wn31-06787451-n
Edmond Hoyle	wn31-11083177-n
Nathaniel Currier	wn31-10938110-n
Winnipeg	wn31-08843144-n
Basseterre	wn31-09010438-n
Palestinian National Authority	wn31-08337853-n
Espoo	wn31-08798134-n
Charlemagne	wn31-10911733-n
Richard I of England	wn31-11279940-n
Ashur	wn31-08939014-n
Al Hirschfeld	wn31-11072038-n
Percy Bysshe Shelley	wn31-11316904-n
Dred Scott	wn31-11308920-n
Billings, Montana	wn31-09131358-n
Pope Leo IX	wn31-11147555-n
Slavkov u Brna	wn31-08776005-n
Jan Smuts	wn31-11326614-n
Lafayette, Louisiana	wn31-09114110-n
Jeannette Rankin	wn31-11273792-n
Indigirka River	wn31-09334616-n
Rudra	wn31-09551371-n
Cartagena, Colombia	wn31-08751248-n
Hermaphroditus	wn31-09585655-n
Benjamin Peirce	wn31-11248476-n
William Rowan Hamilton	wn31-11046227-n
Marcello Malpighi	wn31-11172534-n
North Platte River	wn31-09396627-n
Herodotus	wn31-11065564-n
Phillis Wheatley	wn31-11402925-n
Saipan	wn31-01295931-n
Ferdinand II of Aragon	wn31-10989297-n
Skopje	wn31-08981625-n
Transylvania	wn31-08832633-n
West Sussex	wn31-08903870-n
Southern United States	wn31-09073186-n
Ernest Solvay	wn31-11327932-n
The Bahamas	wn31-08866260-n
England	wn31-08891234-n
Doubting Thomas	wn31-10047678-n
Babe Didrikson Zaharias	wn31-11424662-n
Joseph Lister, 1st Baron Lister	wn31-11154885-n
South Bend, Indiana	wn31-09108615-n
Tibet Autonomous Region	wn31-08926725-n
Jim Henson	wn31-11063831-n
Andrea Mantegna	wn31-11174847-n
Duncan Grant	wn31-11031555-n
Jackson, Tennessee	wn31-09163511-n
Catherine of Aragon	wn31-10907345-n
Busan	wn31-08976347-n
Peter Sellers	wn31-11312095-n
Book of Nehemiah	wn31-06448113-n
Howard Hughes	wn31-11084829-n
John Trumbull	wn31-11370388-n
H. L. Mencken	wn31-11193021-n
Ralph Richardson	wn31-11281174-n
Humphry Davy	wn31-10944884-n
Angostura Bridge	wn31-02715621-n
Willamette River	wn31-09502765-n
Sierra Nevada (U.S.)	wn31-09457749-n
John Napier	wn31-11220080-n
New Siberian Islands	wn31-09199056-n
Somerset	wn31-08903406-n
Richard Leakey	wn31-11142104-n
Merlin	wn31-11196378-n
Pakistan	wn31-08998272-n
Edna O'Brien	wn31-11231312-n
Hot Springs, Arkansas	wn31-09082494-n
Joseph (patriarch)	wn31-11111853-n
Hypatia	wn31-11090377-n
Eugene Wigner	wn31-11406133-n
Cape Cod Canal	wn31-09120950-n
Tecumseh	wn31-11354423-n
Milk River (Alberta–Montana)	wn31-09377677-n
Witwatersrand	wn31-09024251-n
Rebecca West	wn31-11402393-n
Babar the Elephant	wn31-09612922-n
Henry III of England	wn31-11061443-n
Chemical Weapons Convention	wn31-06787269-n
Anglesey	wn31-08916155-n
William Shakespeare	wn31-11315186-n
Austronesia	wn31-08855321-n
Ian Fleming	wn31-10992977-n
Chief Joseph	wn31-11112116-n
Haggai	wn31-11041912-n
Ursa Minor	wn31-09362930-n
George Herbert Mead	wn31-11190113-n
Big Ben	wn31-02839980-n
Tirol, Austria	wn31-08865127-n
Stamford Raffles	wn31-11272212-n
Lake Victoria	wn31-09356955-n
Kings Canyon National Park	wn31-08624244-n
Bandung	wn31-08929706-n
Alexander Blok	wn31-10873224-n
Cape Fear (region)	wn31-09149687-n
Medford, Massachusetts	wn31-09120053-n
Grace Kelly	wn31-11119913-n
Harold Godwinson	wn31-11049633-n
French and Indian War	wn31-01307311-n
Edward Elgar	wn31-10976126-n
Cyclades	wn31-08801001-n
Sarah Vaughan	wn31-11381418-n
Lewis and Clark Expedition	wn31-08426280-n
Blantyre	wn31-08982724-n
Urbana, Illinois	wn31-09107153-n
Mbabane	wn31-09053871-n
Jerome	wn31-11103054-n
Edward I of England	wn31-10970084-n
Bozeman, Montana	wn31-09131216-n
W. E. B. Du Bois	wn31-10964005-n
William Curtis	wn31-10938310-n
Darfur	wn31-09052254-n
Saint John, New Brunswick	wn31-08843763-n
Soil horizon	wn31-08676243-n
King Arthur	wn31-10844492-n
Artaxerxes II of Persia	wn31-10844314-n
Abu Qir Bay	wn31-09209122-n
Dodecanese	wn31-08801138-n
Battle of Marathon	wn31-01289062-n
Dnipropetrovsk	wn31-09039068-n
Cheshire Cat	wn31-09614850-n
Camp David	wn31-08661074-n
Mary Baker Eddy	wn31-10968648-n
Danu (Irish goddess)	wn31-09531941-n
Haiti	wn31-08769150-n
Dolomites	wn31-09291498-n
John Gielgud	wn31-11018856-n
Robinson Jeffers	wn31-11101663-n
Duke University	wn31-03259208-n
Pegasus	wn31-09523757-n
Battle of Cynoscephalae	wn31-01279558-n
Aeolus	wn31-09576619-n
Louis XVI of France	wn31-11161485-n
Evangelista Torricelli	wn31-11366105-n
Rodion Romanovich Raskolnikov	wn31-10527376-n
Ali Baba	wn31-09802387-n
Kharkiv	wn31-09039230-n
English Civil War	wn31-01306612-n
Søren Kierkegaard	wn31-11124666-n
Chennai	wn31-08924360-n
Amaterasu	wn31-09557786-n
Édouard Vuillard	wn31-11389546-n
Bela Lugosi	wn31-11164421-n
Eighteenth Amendment to the United States Constitution	wn31-06741747-n
Richard Upjohn	wn31-11376507-n
Louisa May Alcott	wn31-10831829-n
Gulf of Saint Lawrence	wn31-09322303-n
Huntsville, Alabama	wn31-09076813-n
Taurus (constellation)	wn31-09478436-n
William Lloyd Garrison	wn31-11011579-n
Sonny Liston	wn31-11155034-n
Alhazen	wn31-10833590-n
Częstochowa	wn31-09005926-n
Alphonse Bertillon	wn31-10868809-n
Eva Le Gallienne	wn31-11144821-n
Tahiti	wn31-09012311-n
New Forest	wn31-08902757-n
Riverside, California	wn31-09087338-n
Turkey	wn31-09061886-n
Josef Hoffmann	wn31-11075149-n
Guadalupe Mountains	wn31-09318482-n
Shreveport, Louisiana	wn31-09114924-n
Saint Boniface	wn31-10876082-n
Devi	wn31-09548414-n
Zeno of Citium	wn31-11425680-n
Coropuna	wn31-09280186-n
Benjamin Tucker	wn31-11371524-n
Walter Piston	wn31-11255916-n
Tunisia	wn31-09059869-n
Jean-Jacques Rousseau	wn31-11292679-n
Cooper Union	wn31-03108333-n
Red Army Faction	wn31-08057858-n
Bob Hope	wn31-11079258-n
Lake Chad	wn31-09353373-n
Bay of Campeche	wn31-09320635-n
Java	wn31-08928021-n
Horseshoe Falls	wn31-09255072-n
Khabarovsk Krai	wn31-09027643-n
Lorenz Oken	wn31-11233313-n
Isthmus of Panama	wn31-09343145-n
Clarence Day	wn31-10945524-n
Wernher von Braun	wn31-10882720-n
Jutland	wn31-08778872-n
Aristarchus (crater)	wn31-09229177-n
Aare	wn31-09208961-n
Kunlun Mountains	wn31-09350787-n
Mount St. Helens	wn31-09200282-n
Nag Hammadi	wn31-08919705-n
Greenland	wn31-08837249-n
Sif	wn31-09606371-n
Seneca the Younger	wn31-11312381-n
Battle of the Boyne	wn31-01275280-n
Forseti	wn31-09603168-n
Amarillo, Texas	wn31-09165508-n
Jason	wn31-09615558-n
Michael Jackson	wn31-11096955-n
Marc Blitzstein	wn31-10872840-n
Medford, Oregon	wn31-09156470-n
Opera (web browser)	wn31-06584114-n
Gloucestershire	wn31-08902451-n
Giacomo Puccini	wn31-11268067-n
Ho Chi Minh City	wn31-09187034-n
Bing Crosby	wn31-10936483-n
Carlos Chávez	wn31-10914117-n
Tokyo	wn31-08943121-n
Mishnah	wn31-06474477-n
Dunkirk	wn31-08955751-n
Mazar-i-Sharif	wn31-08722368-n
Asahikawa, Hokkaido	wn31-08942950-n
Cape of Good Hope	wn31-09024466-n
The Canterbury Tales	wn31-07236283-n
White House	wn31-04588063-n
Paul Robeson, Jr.	wn31-11284963-n
Paterson, New Jersey	wn31-09136673-n
Yerupajá	wn31-09505696-n
Harold Urey	wn31-11377509-n
Reuben (Bible)	wn31-11278343-n
Westminster Abbey	wn31-08896662-n
Greenland Sea	wn31-09317191-n
Rudolf Mössbauer	wn31-11213804-n
Maine	wn31-09115069-n
Polynesia	wn31-08860659-n
Charles James Fox	wn31-10996993-n
Owensboro, Kentucky	wn31-09112693-n
Lübeck	wn31-08791713-n
Tucson, Arizona	wn31-09081304-n
Lake Eyre	wn31-09300819-n
Jimmy Hoffa	wn31-11074168-n
Gaborone	wn31-08871677-n
Boeotia	wn31-08807095-n
Deimos (moon)	wn31-09286927-n
Dante Gabriel Rossetti	wn31-11291553-n
Charles Wheatstone	wn31-11403095-n
Saint Lucia	wn31-09010823-n
Thomas Becket	wn31-10859617-n
Rachel	wn31-11271374-n
Steve Reich	wn31-11277021-n
Ahura Mazda	wn31-09555087-n
Martina Navratilova	wn31-11221730-n
Lepus (constellation)	wn31-09361149-n
Cape Canaveral	wn31-09257011-n
William Rose Benét	wn31-10864123-n
Trondheim	wn31-08783456-n
Appalachian Mountains	wn31-09224179-n
Issachar	wn31-11094860-n
C. P. Snow	wn31-11327077-n
Amedeo Avogadro	wn31-10849642-n
Richard E. Byrd	wn31-10896550-n
Delaware River	wn31-09287022-n
Cayman Islands	wn31-08727232-n
William Seward Burroughs I	wn31-10894127-n
Mount Ararat	wn31-09225910-n
Bryan, Texas	wn31-09166286-n
Book of Judith	wn31-06471504-n
Herod the Great	wn31-11065348-n
Cumberland River	wn31-09284044-n
Salt Lake City	wn31-09170480-n
Margaret Court	wn31-10933107-n
James Tobin	wn31-11364230-n
Wheeling, West Virginia	wn31-09179792-n
René-Robert Cavelier, Sieur de La Salle	wn31-11138195-n
Canterbury	wn31-08903999-n
James Bay	wn31-09344244-n
Epicurus	wn31-10979471-n
Karl Menninger	wn31-11194553-n
George Washington Bridge	wn31-03440735-n
First Crusade	wn31-00971191-n
Louis Auchincloss	wn31-10847695-n
Pope Alexander VI	wn31-10832808-n
Otto Hahn	wn31-11042156-n
Industrial Revolution	wn31-15285088-n
Cape Hatteras	wn31-09150134-n
Johann Wolfgang von Goethe	wn31-11024102-n
Ramesses VIII	wn31-11273087-n
Budapest	wn31-08972196-n
Scranton, Pennsylvania	wn31-09159630-n
James Dewar	wn31-10952447-n
George Szell	wn31-11347959-n
Tartary	wn31-08990741-n
Battle of Hohenlinden	wn31-01283285-n
Rod Laver	wn31-11139624-n
Newburgh (city), New York	wn31-09147511-n
Emilia-Romagna	wn31-08824163-n
Thornton Wilder	wn31-11406687-n
Robert Morris (financier)	wn31-11211838-n
Blida	wn31-08724316-n
Moline, Illinois	wn31-09106487-n
Joseph Black	wn31-10871726-n
Frederick Gowland Hopkins	wn31-11079588-n
Bay of Fundy	wn31-09239688-n
Daniel Chester French	wn31-11001746-n
Osage River	wn31-09403211-n
Battle of Waterloo	wn31-01301967-n
Pacific Ocean	wn31-09405883-n
Confederate States of America	wn31-09072700-n
Jane Austen	wn31-10848897-n
Lazarus of Bethany	wn31-10270822-n
Stuart Davis (painter)	wn31-10944739-n
Toronto	wn31-08847424-n
Regiomontanus	wn31-11215609-n
Córdoba, Argentina	wn31-08730969-n
Linus Pauling	wn31-11246923-n
Holy Spirit (Christianity)	wn31-09560892-n
Palatinate (region)	wn31-08793272-n
Joseph Emerson Worcester	wn31-11417483-n
Túpac Amaru Revolutionary Movement	wn31-08062433-n
John Bardeen	wn31-10854139-n
Joseph Joachim	wn31-11105257-n
Santa Cruz de la Sierra	wn31-08872502-n
Luna (goddess)	wn31-09594427-n
William Hogarth	wn31-11075607-n
Bismarck Sea	wn31-09244807-n
Melvin Calvin	wn31-10900421-n
Pimlico Race Course	wn31-03946298-n
Gansu	wn31-08743525-n
Sarawak	wn31-08987197-n
George Washington Carver	wn31-10905355-n
Seto Inland Sea	wn31-09336360-n
Champagne-Ardenne	wn31-08961308-n
Henry VII of England	wn31-11063035-n
Siege of Yorktown	wn31-01302733-n
Leontyne Price	wn31-11266398-n
Ping River	wn31-09415400-n
Louis XIV of France	wn31-11161009-n
Battle of Verdun (1792)	wn31-01301064-n
Calvin Klein (fashion designer)	wn31-11126933-n
Suez	wn31-08920431-n
Fifth Avenue	wn31-09143606-n
Alcaeus of Mytilene	wn31-10831504-n
Nancy Astor, Viscountess Astor	wn31-10846321-n
Shiva	wn31-09551861-n
Persephone	wn31-09592596-n
Alan Shepard	wn31-11317253-n
Prince Philip, Duke of Edinburgh	wn31-11252465-n
Prussia (region)	wn31-08793617-n
Marcus Vipsanius Agrippa	wn31-10829461-n
Pliny the Elder	wn31-11259557-n
Rawalpindi	wn31-09000035-n
Seychelles	wn31-09018853-n
Fred Zinnemann	wn31-11427170-n
Baltic Sea	wn31-09236161-n
Bernardo Bertolucci	wn31-10868919-n
Karel Čapek	wn31-10901368-n
Douglas MacArthur	wn31-11166660-n
Samuel	wn31-11299864-n
Tórshavn	wn31-08972802-n
Gian Lorenzo Bernini	wn31-10867718-n
Holy Land	wn31-08816234-n
Scaramouche	wn31-10574966-n
Dag Hammarskjöld	wn31-11046368-n
Carl Clinton Van Doren	wn31-11379692-n
Karachi	wn31-08999581-n
Icarus	wn31-09584449-n
Eugene, Oregon	wn31-09156195-n
Sana'a	wn31-09188257-n
Mani (prophet)	wn31-11173773-n
Gulf War	wn31-01309581-n
Thomas Hastings (architect)	wn31-11054303-n
Hershey, Pennsylvania	wn31-09158595-n
Katsina	wn31-08996838-n
Alberta	wn31-08841194-n
Konrad Adenauer	wn31-10828360-n
Geraint	wn31-11016529-n
Barstow, California	wn31-09084948-n
Catskill Mountains	wn31-09261331-n
Ur	wn31-08938573-n
Green Mountains	wn31-09317319-n
Skagerrak	wn31-09459203-n
Catherine Parr	wn31-11244036-n
European Russia	wn31-09029841-n
Ansar al-Islam	wn31-08032074-n
Assyria (Roman province)	wn31-08938717-n
Samuel Gompers	wn31-11026227-n
Friedrich Wilhelm von Steuben	wn31-11337081-n
El Cid	wn31-09621665-n
Daytona Beach, Florida	wn31-09095116-n
Henri Labrouste	wn31-11133722-n
Bonaire	wn31-08766750-n
Athol Fugard	wn31-11004975-n
Cy Young	wn31-11423452-n
Horace Walpole	wn31-11392594-n
Superior, Wisconsin	wn31-09181435-n
Vulcan (mythology)	wn31-09585295-n
Meuse (river)	wn31-09376334-n
John Endecott	wn31-10978877-n
Kenzō Tange	wn31-11350958-n
Pierre, South Dakota	wn31-09162230-n
Lafayette, Indiana	wn31-09108375-n
Tours	wn31-08958124-n
Maya Lin	wn31-11152235-n
Sardis	wn31-09065150-n
Robert E. Lee	wn31-11144637-n
South Platte River	wn31-09464629-n
Lancaster, Lancashire	wn31-08893496-n
Ralph Ellison	wn31-10978174-n
Kursk	wn31-09027981-n
Julio Iglesias	wn31-11090845-n
Walter Reed	wn31-11276325-n
Continuity Irish Republican Army	wn31-08036034-n
Bertolt Brecht	wn31-10883148-n
Nefertiti	wn31-11222712-n
Damon and Pythias	wn31-10941631-n
Esau	wn31-10981079-n
Sierra Madre Occidental	wn31-09457373-n
Mesa Verde National Park	wn31-08625131-n
Temple in Jerusalem	wn31-04415465-n
Black Hole of Calcutta	wn31-02850461-n
William Butterfield	wn31-10896413-n
France	wn31-08949695-n
Coleman Hawkins	wn31-11055013-n
Oliver Hardy	wn31-11048776-n
Ionian Sea	wn31-09338361-n
François Mansart	wn31-11174345-n
Humphrey Gilbert	wn31-11019198-n
Mahalia Jackson	wn31-11096810-n
Alfred L. Kroeber	wn31-11130907-n
Guyana	wn31-08968119-n
Racine, Wisconsin	wn31-09181287-n
Lope de Vega	wn31-11382190-n
Bolzano	wn31-08822514-n
Yuma, Arizona	wn31-09081588-n
George I of Great Britain	wn31-11014902-n
Book of Proverbs	wn31-06448978-n
Normandy	wn31-08964334-n
Pope Innocent VIII	wn31-11092179-n
Thomas Nast	wn31-11220939-n
Richard Jordan Gatling	wn31-11012188-n
Arianrhod	wn31-09531360-n
Polaris	wn31-09419587-n
Edward Thorndike	wn31-11361132-n
John Hawkins (naval commander)	wn31-11055128-n
Galicia (Spain)	wn31-09050574-n
Ludwig Boltzmann	wn31-10875430-n
Konstantin Stanislavsky	wn31-11332704-n
Abuja	wn31-08996541-n
Dustin Hoffman	wn31-11074437-n
John Maynard Keynes	wn31-11123387-n
Ōmiya, Saitama	wn31-08943657-n
Harold Nicolson	wn31-11226534-n
Moon	wn31-09381255-n
Norma (constellation)	wn31-09395087-n
Karl Jaspers	wn31-11100977-n
Quezon City	wn31-09004551-n
Faroe Islands	wn31-08972629-n
John Bartlett (publisher)	wn31-10856458-n
Lisbon	wn31-09008436-n
Agrippina the Younger	wn31-10829819-n
August Weismann	wn31-11400154-n
Glenn T. Seaborg	wn31-11310467-n
Alan Lloyd Hodgkin	wn31-11073554-n
Prosper Ménière	wn31-11194109-n
Charleston, West Virginia	wn31-09178569-n
Alfred Fowler	wn31-10996704-n
Ernestine Schumann-Heink	wn31-11307427-n
Reading, Berkshire	wn31-08900450-n
Olduvai Gorge	wn31-09401261-n
Aras (river)	wn31-09226095-n
Hannah Arendt	wn31-10841303-n
West End of London	wn31-08895596-n
Henry Villard	wn31-11386653-n
Manchester	wn31-08897202-n
Macedonia (Roman province)	wn31-08935145-n
Lucretius	wn31-11164058-n
Zhang Guolao	wn31-09556412-n
Waterford	wn31-08910171-n
Saturn (mythology)	wn31-09581517-n
Purus River	wn31-09424215-n
Brownsville, Texas	wn31-09166058-n
Queensland	wn31-08851683-n
Robert Yerkes	wn31-11422622-n
Henry IV of England	wn31-11061810-n
Channel Tunnel	wn31-03031618-n
Libya	wn31-08979456-n
Letter of Jeremiah	wn31-06471120-n
Atë	wn31-09580418-n
Edmund Husserl	wn31-11088620-n
Jean Genet	wn31-11013932-n
Book of Deuteronomy	wn31-06445145-n
Second Epistle to the Thessalonians	wn31-06456884-n
Santiago	wn31-08739392-n
Bangui	wn31-08736634-n
Croesus	wn31-10935524-n
Brasília	wn31-08874300-n
Kanara	wn31-08922911-n
Brunei	wn31-08916319-n
Carl David Anderson	wn31-10836848-n
Vagn Walfrid Ekman	wn31-10975740-n
Tivoli, Lazio	wn31-08825929-n
Demerara	wn31-08968731-n
Seretse Khama	wn31-11123854-n
Georges Danton	wn31-10942253-n
Constantin Brâncuși	wn31-10882272-n
Gilbert Islands	wn31-08858908-n
John Philip Sousa	wn31-11328983-n
Lawrence of Rome	wn31-11141098-n
Philip Stanhope, 4th Earl of Chesterfield	wn31-10914825-n
Swan	wn31-01861630-n
Cleopatra	wn31-10921579-n
Japan Trench	wn31-09344433-n
Diana (mythology)	wn31-09580259-n
Henry Sweet	wn31-11346725-n
Tangier	wn31-08992962-n
Amiri Baraka	wn31-10853607-n
Baffin Island	wn31-08837535-n
Heinrich Hertz	wn31-11066929-n
John Ruskin	wn31-11294704-n
Charlotte, North Carolina	wn31-09151045-n
Abadan, Iran	wn31-08931375-n
Damgalnuna	wn31-09540477-n
Eusebius	wn31-10982829-n
Vanguards of Conquest	wn31-08029497-n
Bioko	wn31-08781765-n
Acre (state)	wn31-08873717-n
Cancer (constellation)	wn31-08704396-n
Epsilon Aurigae	wn31-09296834-n
Amedeo Modigliani	wn31-11203945-n
Albrecht von Wallenstein	wn31-11392049-n
Lillian Gish	wn31-11021418-n
Old South	wn31-09074065-n
Klemens von Metternich	wn31-11197522-n
Buenos Aires	wn31-08730709-n
Nouakchott	wn31-08989527-n
